bid	nid			
101	612			
102	613			
102	613			
103	614			
103	614			
104	615			
104	615			
105	616			
105	616			
107	618			
107	618			
108	619			
108	619			
109	620			
109	620			
110	621			
110	621			
111	622			
111	622			
112	623			
113	624			
114	625			
114	625			
115	626			
116	627			
116	627			
117	628			
117	628			
118	629			
119	630			
119	630			
120	631			
120	631			
122	633			
122	633			
123	634			
123	634			
124	635			
126	637			
127	638			
127	638			
128	639			
128	639			
129	640			
130	641			
130	641			
132	643			
133	644			
133	644			
134	645			
134	645			
135	646			
135	646			
136	647			
136	647			
137	648			
137	648			
138	649			
138	649			
139	650			
139	650			
140	651			
141	652			
141	652	
144	655	
144	655	
145	656	
145	656	
146	657	
146	657	
147	658	
147	658	
148	659	
149	660	
149	660	
149	660	
149	660	
150	773	
150	773	
151	774			
152	775			
152	775			
153	776			
153	776			
154	777			
154	777			
155	778			
